"Country","Forest_Share_of_Surface"
"Afghanistan",1.850994088
"Albania",28.7919708
"Algeria",0.810331602
"American Samoa",85.95
"Andorra",34.04255319
"Angola",54.31740595
"Antigua and Barbuda",18.75
"Argentina",10.52037315
"Armenia",11.55216017
"Aruba",2.333333333
"Australia",17.42131456
"Austria",47.16396025
"Azerbaijan",13.41392976
"Bahamas, The",50.93506494
"Bahrain",0.846153846
"Bangladesh",14.46877161
"Barbados",14.65116279
"Belarus",43.05153217
"Belgium",22.76420079
"Belize",56.96492766
"Benin",28.69058177
"Bermuda",18.51851852
"Bhutan",71.34556896
"Bolivia",47.31213884
"Bosnia and Herzegovina",42.73261719
"Botswana",27.3345332
"Brazil",59.70842795
"British Virgin Islands",24.13333333
"Brunei Darussalam",72.10626186
"Bulgaria",35.62085483
"Burkina Faso",23.08625731
"Burundi",10.8894081
"Cabo Verde",11.19602978
"Cambodia",47.47195785
"Cameroon",43.26644243
"Canada",38.70376294
"Cayman Islands",53.375
"Central African Republic",35.89681852
"Chad",3.601493011
"Channel Islands",5.151515152
"Chile",24.16152903
"China",22.94173538
"Colombia",53.66424516
"Comoros",18.16227834
"Congo, Dem. Rep.",56.61894974
"Congo, Rep.",64.35139092
"Cook Islands",64.95833333
"Costa Rica",58.79612221
"Cote d'Ivoire",9.630440252
"Croatia",34.17759321
"Cuba",31.23314066
"Curacao",0.157657658
"Cyprus",18.67640693
"Czech Republic",34.63044041
"Denmark",15.664
"Djibouti",0.243313201
"Dominica",63.82666667
"Dominican Republic",44.0471952
"Ecuador",50.83898373
"Egypt, Arab Rep.",0.045185594
"El Salvador",28.61389961
"Equatorial Guinea",87.88377897
"Eritrea",10.51069307
"Estonia",56.09385783
"Eswatini",28.7872093
"Ethiopia",15.24350842
"Faroe Islands",0.05730659
"Fiji",61.66721401
"Finland",73.73321927
"France",31.20442255
"French Polynesia",42.46022727
"Gabon",91.41289246
"Gambia, The",25.11264822
"Georgia",40.61591596
"Germany",32.68361097
"Ghana",35.03234596
"Gibraltar",0
"Greece",30.26997673
"Greenland",0.000535997
"Grenada",52.05882353
"Guam",51.85185185
"Guatemala",33.13736469
"Guinea",25.51277877
"Guinea-Bissau",71.01315789
"Guyana",93.64363729
"Haiti",12.82728592
"Honduras",57.20940209
"Hungary",22.5281613
"Iceland",0.496280869
"India",24.09102681
"Indonesia",49.71681778
"Iran, Islamic Rep.",6.586010216
"Iraq",1.900361184
"Ireland",11.23559297
"Isle of Man",6.070175439
"Israel",6.469500924
"Italy",31.76875021
"Jamaica",54.39704524
"Japan",68.40877915
"Jordan",1.09822032
"Kazakhstan",1.257992073
"Kenya",6.344818498
"Kiribati",1.456790123
"Korea, Dem. People's Rep.",50.43227307
"Korea, Rep.",64.67391304
"Kuwait",0.350729517
"Kyrgyz Republic",6.667883212
"Lao PDR",72.20320624
"Latvia",54.80834273
"Lebanon",13.89345064
"Lesotho",1.137022398
"Liberia",79.71303987
"Libya",0.123327688
"Liechtenstein",41.875
"Lithuania",35.0950024
"Luxembourg",36.50205761
"Madagascar",21.40983156
"Malawi",24.66801018
"Malaysia",58.48224015
"Maldives",2.733333333
"Mali",10.89666363
"Malta",1.4375
"Marshall Islands",52.22222222
