Country,Country Code,Series,Series Code,2018 [2018]
Japan,JPN,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,842886.94559548
Japan,JPN,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,532545500
Japan,JPN,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,800689.871681208
Japan,JPN,"Industrial Production, constant US$, seas. adj.,,",IPTOTSAKD,1686560740803.91
Japan,JPN,"Stock Markets, US$,,,",DSTKMKTXD,172.82273818038
Japan,JPN,"Total Reserves,,,,",TOTRESV,1240519.08087596
Japan,JPN,"Unemployment rate,Percent,,,",UNEMPSA_,2.44119927226
India,IND,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
India,IND,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,137874250
India,IND,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
India,IND,"Industrial Production, constant US$, seas. adj.,,",IPTOTSAKD,697550674902.905
India,IND,"Stock Markets, US$,,,",DSTKMKTXD,137.82979307443
India,IND,"Total Reserves,,,,",TOTRESV,395591
India,IND,"Unemployment rate,Percent,,,",UNEMPSA_,..
Madagascar,MDG,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Madagascar,MDG,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Madagascar,MDG,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Madagascar,MDG,"Industrial Production, constant US$, seas. adj.,,",IPTOTSAKD,..
Madagascar,MDG,"Stock Markets, US$,,,",DSTKMKTXD,..
Madagascar,MDG,"Total Reserves,,,,",TOTRESV,1739.58829028962
Madagascar,MDG,"Unemployment rate,Percent,,,",UNEMPSA_,..
Philippines,PHL,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,84635.111424309
Philippines,PHL,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,18251853
Philippines,PHL,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,125368.793121597
Philippines,PHL,"Industrial Production, constant US$, seas. adj.,,",IPTOTSAKD,116114350956.058
Philippines,PHL,"Stock Markets, US$,,,",DSTKMKTXD,222.45579269219
Philippines,PHL,"Total Reserves,,,,",TOTRESV,79193.37
Philippines,PHL,"Unemployment rate,Percent,,,",UNEMPSA_,5.3
Sri Lanka,LKA,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Sri Lanka,LKA,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,9664228.29835193
Sri Lanka,LKA,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Sri Lanka,LKA,"Industrial Production, constant US$, seas. adj.,,",IPTOTSAKD,19850399520.6666
Sri Lanka,LKA,"Stock Markets, US$,,,",DSTKMKTXD,124.9244799481
Sri Lanka,LKA,"Total Reserves,,,,",TOTRESV,6919.22
Sri Lanka,LKA,"Unemployment rate,Percent,,,",UNEMPSA_,4.4
,,,,
,,,,
,,,,
Data from database: Global Economic Monitor (GEM),,,,
Last Updated: 07/27/2020,,,,
