Country,Country Code,Series,Series Code,2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020]
Japan,JPN,"Exports Merchandise, Customs, constant US$, millions, seas. adj.",DXGSRMRCHSAKD,802379.037612209,602628.62313937,765809.046722561,761881.457108708,755196.898900953,741569.635093636,752149.512151088,768699.404506425,782190.780504236,833864.826447741,855945.847701134,840315.179836983,..
Japan,JPN,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,499238000,472286600,492149100,491671300,498942600,509141300,510616000,517039600,519626200,531027600,532545500,536203900,131606500
Japan,JPN,"Imports Merchandise, Customs, constant US$, millions, seas. adj.",DMGSRMRCHSAKD,712745.025000693,619848.903692162,685359.459268421,714903.344682796,744715.137329409,746653.205356824,757561.122298575,779462.451074881,785090.74943832,806908.310161101,823359.049748652,826766.308203231,..
Japan,JPN,"Industrial Production, constant US$, seas. adj.,,",IPTOTSAKD,1808961500260.81,1433103256580.45,1647879395826.37,1602029829576.77,1604058571446.22,1614337530251.44,1643280914255.61,1623128745019.06,1626780480384.07,1669248810184.59,1686560740803.91,1642469417507.83,..
Japan,JPN,"Stock Markets, US$,,,",DSTKMKTXD,99.85506391177,85.38331254209,97.48999374259,101.00067441558,97.41373164377,118.20512852721,124.78856664914,135.28242839282,133.00410229267,153.98113278806,172.82273818038,169.97851276083,169.97276127961
Japan,JPN,"Total Reserves,,,,",TOTRESV,1010691.08033662,1026249.71372535,1071311.12857645,1259494.33890504,1228470.48306507,1238543.83328028,1232257.31628411,1208212.43551054,1189484.42659591,1233454.95883994,1240519.08087596,1287396.70680419,..
Japan,JPN,"Unemployment rate,Percent,,,",UNEMPSA_,3.99457882828,5.06775598344,5.04809076134,4.58226747196,4.34779915054,4.02160271209,3.58738820796,3.37158894907,3.11324040287,2.80669289948,2.44119927226,2.3486678521,2.54765772173
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: Global Economic Monitor (GEM),,,,,,,,,,,,,,,,
Last Updated: 07/27/2020,,,,,,,,,,,,,,,,
